molecule,pred_bde,pred_bdfe,bond_index
CC(=C)C=C,99.97074,85.50107,0
CC(=C)C=C,95.50214,83.501686,1
CC(=C)C=C,111.35035,97.34691,2
CC(=C)C=C,97.36421,85.97632,3
CC(=C)C=C,90.56728,81.86625,4
CC(=C)C=C,90.56728,81.86625,5
CC(=C)C=C,90.56728,81.86625,6
CC(=C)C=C,110.92923,102.442184,7
CC(=C)C=C,110.92923,102.442184,8
CC(=C)C=C,107.499626,97.90421,9
CC(=C)C=C,109.1673,100.579414,10
CC(=C)C=C,109.1673,100.579414,11
CC(=O)OC,95.19122,82.50074,0
CC(=O)OC,93.01792,83.48257,1
CC(=O)OC,101.15311,87.95615,2
CC(=O)OC,93.12237,79.78385,3
CC(=O)OC,97.275475,89.613976,4
CC(=O)OC,97.275475,89.613976,5
CC(=O)OC,97.275475,89.613976,6
CC(=O)OC,98.14384,89.68044,7
CC(=O)OC,98.14384,89.68044,8
CC(=O)OC,98.14384,89.68044,9
C1=COC=C1,107.84981,96.88935,0
C1=COC=C1,97.56681,86.46879,1
C1=COC=C1,97.56681,86.46879,2
C1=COC=C1,107.84981,96.88935,3
C1=COC=C1,110.24318,99.73209,4
C1=COC=C1,118.33163,109.94414,5
C1=COC=C1,117.98054,109.55532,6
C1=COC=C1,117.98054,109.55532,7
C1=COC=C1,118.33163,109.94414,8
CC(C)(C)O,85.53015,71.47249,0
CC(C)(C)O,85.53015,71.47249,1
CC(C)(C)O,85.53015,71.47249,2
CC(C)(C)O,96.47211,83.74905,3
CC(C)(C)O,100.95185,92.11955,4
CC(C)(C)O,100.95185,92.11955,5
CC(C)(C)O,100.95185,92.11955,6
CC(C)(C)O,100.95185,92.11955,7
CC(C)(C)O,100.95185,92.11955,8
CC(C)(C)O,100.95185,92.11955,9
CC(C)(C)O,100.95185,92.11955,10
CC(C)(C)O,100.95185,92.11955,11
CC(C)(C)O,100.95185,92.11955,12
CC(C)(C)O,104.611755,96.23842,13
CCCCC,89.1497,75.57727,0
CCCCC,87.52226,73.00638,1
CCCCC,87.52226,73.00638,2
CCCCC,89.1497,75.57727,3
CCCCC,100.10087,91.14827,4
CCCCC,100.10087,91.14827,5
CCCCC,100.10087,91.14827,6
CCCCC,97.00948,87.62737,7
CCCCC,97.00948,87.62737,8
CCCCC,97.30861,87.772804,9
CCCCC,97.30861,87.772804,10
CCCCC,97.00948,87.62737,11
CCCCC,97.00948,87.62737,12
CCCCC,100.10087,91.14827,13
CCCCC,100.10087,91.14827,14
CCCCC,100.10087,91.14827,15
CCOCC,87.33465,74.20584,0
CCOCC,87.07362,73.269196,1
CCOCC,87.07362,73.269196,2
CCOCC,87.33465,74.20584,3
CCOCC,101.26227,92.32622,4
CCOCC,101.26227,92.32622,5
CCOCC,101.26227,92.32622,6
CCOCC,93.70125,84.871635,7
CCOCC,93.70125,84.871635,8
CCOCC,93.70125,84.871635,9
CCOCC,93.70125,84.871635,10
CCOCC,101.26227,92.32622,11
CCOCC,101.26227,92.32622,12
CCOCC,101.26227,92.32622,13
COCOC,84.06548,71.3277,0
COCOC,89.34256,76.160194,1
COCOC,89.34256,76.160194,2
COCOC,84.06548,71.3277,3
COCOC,95.92548,87.50448,4
COCOC,95.92548,87.50448,5
COCOC,95.92548,87.50448,6
COCOC,95.9145,87.15432,7
COCOC,95.9145,87.15432,8
COCOC,95.92548,87.50448,9
COCOC,95.92548,87.50448,10
COCOC,95.92548,87.50448,11
C1COC=C1,72.71049,60.732502,0
C1COC=C1,69.1794,58.038704,1
C1COC=C1,98.271935,87.998344,2
C1COC=C1,101.53166,90.002914,3
