molecule,match
CC(C)CCC(CCC(C)C)C(CCC(C)C)CCC(C)C,True
CC(C)CCCC(C)C,True
CC(C)CCCC(C)CCCC(C)CCO,False
CC(C)CCCC(C)CCO,False
CC(C)CCO,False
CC(C)CCOC(=O)C(C)O,False
CC(C)CCOC(=O)C(C)OCCC(C)C,False
CC(C)CCOC(=O)C.CC(C)CCOC(=O)C,True
CC(C)CCOCC(=O)OCCC(C)C,False
CC(C)CCOCCC(C)C,False
CC(C)CCOCCCC(=O)OCCC(C)C,False
CC(C)CO,True
CC(C)COC(=O)C(C)OCC(C)C,False
CC(C)COCC(C)C,True
CC(C)OCCO,True
CC(CC(C)(C)C)CC(C)(C)C,False
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,True
CC(CC(CCCCCCCC)(CC(C)C)C1=CC=CC=C1)C,False
CC(CC1)OC1C(C2CCC(C)O2)C3CCC(C)O3,False
CC(CC1)OC1C(C2CCC(C)O2)C3CCCO3,True
CC(CCC=C(C)C)CCO,False
CC(COC)O,False
CC(COC)OC(=O)C,False
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC,True
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,False
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,False
CC1(C2CCC(O1)(CC2)C)C,True
CC1(COC1)C,True
CC1(OCC(O1)CO)C,True
CC1=C(C(=C(C=C1)C)C)C,True
CC1=CC(=C(C(=C1)OC)O)OC,False
CC1=CC(=C(C=C1)C)C,False
CC1=CC(=C(C=C1)O)OC,True
CC1=CC(=CC(=C1)C)C,True
CC1=CC(=CC=C1)C,False
CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,False
CC1=CC2=C(C=C1)C=C(C=C2)C,True
CC1=CC2=CC=CC=C2C=C1,False
CC1=CC=C(C=C1)C(C)C,True
CC1=CC=C(C=C1)OC,True
CC1=CC=C(O1)C,True
CC1=CC=C(O1)C(C2=CC=C(O2)C)C3=CC=C(O3)C,True
CC1=CC=C(O1)C(C2=CC=CO2)C3=CC=C(O3)C,True
CC1=CC=CC2=CC=CC=C12,False
CC1=CC=CC=C1,True
CC1=CC=CC=C1C,True
CC1=CCC(=C(C)CCC=C(C)C)CC1,False
CC1=CCC(=CC1)C(C)C,False
CC1=CCC(CC1)C(=C)C,False
CC1=CCC2C(C1)C2(C)C,False
CC1=CCC2CC1C2(C)C,False
CC1=CCCC(=C)C2CC(C2CC1)(C)C,False
CC1=CCCCC1,False
CC1CC(=O)CC(C1)(C)C,True
CC1CC(C(C1)(C)C)C,True
CC1CC(CC(C1)C)C,True
CC1CCC(C(=O)C1)C(C)C,True
CC1CCC(C(C1)C)C,False
CC1CCC(C(C1)OC(=O)C)C(C)C,True
CC1CCC2CC1C2(C)C,False
CC1CCC=CC1,True
CC1CCCC(C1)C,True
CC1CCCC(C2CC(C2CC1)(C)C)C,False
CC1CCCC1,True
CC1CCCC=C1,True
CC1CCCCC1,True
CC1CCCCC1(C)C,True
CC1CCCCC1C,True
CC1CCCO1,True
CC1CCOC(C1)C=C(C)C,False
CC1COC(O1)CC(C)C,False
CC=CC=CC(=O)OC,False
CCC(=CCCCCCCC=C(CC)CC)CC,False
CCC(=O)C,True
CCC(=O)CC,True
CCC(C)(C)C,True
CCC(C)(C)C(C)C,True
CCC(C)(C)O,True
CCC(C)(CCCC(C)C)O,True
CCC(C)(CCCC(C)CCCC(C)C)O,True
CCC(C)C(C)(C)C,True
CCC(C)C(C)C,True
CCC(C)C(C)CC,True
CCC(C)C1=CC=CC=C1,True
CCC(C)C1CCCC2C1CCCC2,True
CCC(C)CC,True
CCC(C)CC(C)C,False
CCC(C)CCCC(C)C,False
CCC(C)CCCC(C)CCCC(C)C,False
CCC(C)CO,True
CCC(C)O,True
CCC(C)OC,True
CCC(C)OC(C)CC,True
CCC(CC(C)C)C(CC)CC(C)C,False
CCC(CC)(CC)CC,True
CCC(CC)C(C)C,True
CCC(CC)C1OC(C)C(C)O1,False
CCC(CC)CC,True
CCC(CC)COCC(CC)CC,True
CCC(O)OCCCOC,False
CCC/C=C\CCC,True
CCC1=CC(=C(C=C1)O)OC,True
CCC1=CC(=CC(=C1)CC)CC,False
CCC1=CC(=CC=C1)CC,False
CCC1=CC=CO1,True
CCC1C2CC3CC(C2)CC1C3,True
CCC1CCCCC1,True
CCC1CCCO1,True
CCC1OCC(O1)C,False
CCC=CCC(=O)OC,True
CCC=CCC=CCC=CCCCCCCCC(=O)O,False
CCC=CCC=CCC=CCCCCCCCC(=O)OC,False
CCC=CCC=CCC=CCCCCCCCC(=O)OCC,False
CCC=CCC=CCC=CCCCCCCCCO,False
CCCC,True
CCCC(=O)CCC,True
CCCC(=O)OC,True
CCCC(=O)OC(COC(=O)CCC)COC(=O)CCC,False
CCCC(C)(C)C,True
CCCC(C)(CCC)C1CCCC2CCCCC12,True
CCCC(C)(CCC)c1ccc2ccccc2c1,True
CCCC(C)C,True
CCCC(C)C(=O)C,False
