molecule,atom_index_1,atom_index_2,bond_index,pred_bde
C/C(=C\C1=CC=CC=C1)/C=O,9,10,9,84.46624
C/C(=C\C1=CC=CC=C1)/C=O,0,13,13,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,0,12,12,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,0,11,11,85.567024
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,3,4,3,59.679016
C/C=C/C=C/C(=O)OC,0,9,8,81.10842
C/C=C/C=C/C(=O)OC,0,11,10,81.10842
C/C=C/C=C/C(=O)OC,0,10,9,81.10842
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,8,9,8,77.392265
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,5,0,24,82.99706
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,0,1,0,83.0459
C1/C=C\CC/C=C\C1,3,4,3,63.137535
C1/C=C\CC/C=C\C1,7,0,7,63.137535
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,7,6,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,8,9,8,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,18,17,77.04287
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,9,10,9,77.04287
C1=CC=C(C=C1)C2=CC=CC=C2,11,6,12,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,6,7,6,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,2,3,2,95.98397
C1=CC=C(C=C1)C2=CC=CC=C2,3,4,3,95.98397
C1=CC=C(C=C1)CC2=CC=CC=C2,6,19,20,83.95191
C1=CC=C(C=C1)CC2=CC=CC=C2,6,18,19,83.95191
C1=CC=C(C=C1)CCC2=CC=CC=C2,6,7,6,67.45198
C1=CC=C(C=C1)CCO,6,7,6,77.00087
C1=CC=C(C=C1)CO,6,13,13,82.41459
C1=CC=C(C=C1)CO,6,14,14,82.41459
C1=CC=C(C=C1)CO,6,7,6,83.803894
C1=CC=C(C=C1)COCC2=CC=CC=C2,7,8,7,74.78586
C1=CC=C(C=C1)COCC2=CC=CC=C2,6,7,6,74.78586
C1=CC=C2C=CC=CC2=C1,8,3,10,97.15939
C1=CC=CC=C1,0,1,0,99.55652
C1=CC=CC=C1,1,2,1,99.55652
C1=CC=CC=C1,2,3,2,99.55652
C1=CC=CC=C1,3,4,3,99.55652
C1=CC=CC=C1,4,5,4,99.55652
C1=CC=CC=C1,5,0,5,99.55652
C1=COC(=C1)C=O,5,6,5,86.98816
C1=COC=C1,1,2,1,97.56681
C1=COC=C1,2,3,2,97.56681
C1C=CCO1,3,4,3,70.82836
C1C=CCO1,4,0,4,70.82836
C1CC(CC=C1)C=O,2,3,2,64.33918
C1CC(OC1)CO,2,5,4,83.63378
C1CC2=CC=CC=C2C1,0,1,0,80.05819
C1CC2=CC=CC=C2C1,8,0,8,80.05819
C1CC2C3CCC(C3)C2C1,0,1,0,85.528145
C1CC2C3CCC(C3)C2C1,9,0,9,85.52815
C1CC2C3CCC(C3)C2C1,6,7,6,86.30624
C1CC2C3CCC(C3)C2C1,7,3,11,86.30624
C1CC=CCCC=C1,0,1,0,63.137535
C1CC=CCCC=C1,4,5,4,63.137535
C1CC=COC1,4,5,4,70.4436
C1CCC(=O)C1,2,3,2,84.44843
C1CCC(=O)C1,3,5,4,84.44843
C1CCC(=O)C1,1,2,1,85.07783
C1CCC(=O)C1,5,0,5,85.07783
C1CCC(=O)CC1,2,3,2,81.79331
C1CCC(=O)CC1,3,5,4,81.79331
C1CCC(=O)CC1,1,2,1,83.76038
C1CCC(=O)CC1,5,6,5,83.76038
C1CCC(C1)O,2,3,2,85.720604
C1CCC(C1)O,3,4,3,85.720604
C1CCC(C1)O,0,1,0,87.40926
C1CCC(CC1)C2CCCCC2,3,6,5,83.54882
C1CCC(CC1)C2CCCCC2,11,6,12,85.18841
C1CCC(CC1)C2CCCCC2,2,3,2,85.18841
C1CCC(CC1)C2CCCCC2,3,4,3,85.18841
C1CCC(CC1)C2CCCCC2,6,7,6,85.18841
C1CCC(CC1)CO,3,6,5,82.7064
C1CCC(CC1)O,2,3,2,83.76768
C1CCC(CC1)O,3,4,3,83.76768
C1CCC2C(C1)CCC3C2CCCC3,9,3,14,81.08631
C1CCC2CCCCC2C1,8,3,10,82.42336
C1CCC2CCCCC2C1,8,9,8,83.9452
C1CCC2CCCCC2C1,2,3,2,83.9452
